# energy mu normalized_energy pre_edge post_edge
8.603304000000000087e+03 4.249195000000000055e-01 8.603304000000000087e+03 4.267332442835598538e-01 3.420097030664594584e+00
8.603559999999999491e+03 4.247155000000000236e-01 8.603559999999999491e+03 4.266946701430847089e-01 3.419872061892527348e+00
8.603816000000000713e+03 4.247933999999999877e-01 8.603816000000000713e+03 4.266560960026093419e-01 3.419647093120459225e+00
8.604073000000000320e+03 4.247711000000000126e-01 8.604073000000000320e+03 4.266173711818979086e-01 3.419421245564126188e+00
8.604329999999999927e+03 4.246939000000000131e-01 8.604329999999999927e+03 4.265786463611864754e-01 3.419195398007793152e+00
8.604586999999999534e+03 4.247267000000000126e-01 8.604586999999999534e+03 4.265399215404750421e-01 3.418969550451460115e+00
8.604843999999999141e+03 4.246495000000000131e-01 8.604843999999999141e+03 4.265011967197638310e-01 3.418743702895127079e+00
8.605100000000000364e+03 4.245803000000000216e-01 8.605100000000000364e+03 4.264626225792882419e-01 3.418518734123058955e+00
8.605355999999999767e+03 4.246680999999999928e-01 8.605355999999999767e+03 4.264240484388133190e-01 3.418293765350991720e+00
8.605612999999999374e+03 4.246542999999999846e-01 8.605612999999999374e+03 4.263853236181018858e-01 3.418067917794658683e+00
8.605870000000000800e+03 4.246135999999999799e-01 8.605870000000000800e+03 4.263465987973902305e-01 3.417842070238323871e+00
8.606127000000000407e+03 4.245466999999999991e-01 8.606127000000000407e+03 4.263078739766787972e-01 3.417616222681990834e+00
8.606384000000000015e+03 4.245429000000000008e-01 8.606384000000000015e+03 4.262691491559673640e-01 3.417390375125658686e+00
8.606641999999999825e+03 4.244944999999999968e-01 8.606641999999999825e+03 4.262302736550198645e-01 3.417163648785058960e+00
8.606897000000000844e+03 4.244170999999999916e-01 8.606897000000000844e+03 4.261918501947807858e-01 3.416939558797256637e+00
8.607153000000000247e+03 4.244867999999999975e-01 8.607153000000000247e+03 4.261532760543056408e-01 3.416714590025190290e+00
8.607411000000000058e+03 4.243260999999999838e-01 8.607411000000000058e+03 4.261144005533579193e-01 3.416487863684590565e+00
8.607667999999999665e+03 4.242956999999999979e-01 8.607667999999999665e+03 4.260756757326464861e-01 3.416262016128258416e+00
8.607924999999999272e+03 4.243024000000000240e-01 8.607924999999999272e+03 4.260369509119352749e-01 3.416036168571925380e+00
8.608182000000000698e+03 4.242067999999999950e-01 8.608182000000000698e+03 4.259982260912236196e-01 3.415810321015590567e+00
8.608438000000000102e+03 4.240932000000000035e-01 8.608438000000000102e+03 4.259596519507484746e-01 3.415585352243523332e+00
8.608693999999999505e+03 4.241810999999999776e-01 8.608693999999999505e+03 4.259210778102733297e-01 3.415360383471456984e+00
8.608950999999999112e+03 4.240958000000000228e-01 8.608950999999999112e+03 4.258823529895618965e-01 3.415134535915123948e+00
8.609208000000000538e+03 4.240717999999999988e-01 8.609208000000000538e+03 4.258436281688502412e-01 3.414908688358789135e+00
8.609465000000000146e+03 4.240028000000000130e-01 8.609465000000000146e+03 4.258049033481388079e-01 3.414682840802456099e+00
8.609722999999999956e+03 4.240359000000000211e-01 8.609722999999999956e+03 4.257660278471913085e-01 3.414456114461857261e+00
8.609978999999999360e+03 4.239771999999999985e-01 8.609978999999999360e+03 4.257274537067161635e-01 3.414231145689790026e+00
8.610236000000000786e+03 4.239632999999999874e-01 8.610236000000000786e+03 4.256887288860045082e-01 3.414005298133456101e+00
8.610493000000000393e+03 4.239616999999999969e-01 8.610493000000000393e+03 4.256500040652930750e-01 3.413779450577123065e+00
8.610750000000000000e+03 4.238824999999999954e-01 8.610750000000000000e+03 4.256112792445816417e-01 3.413553603020790028e+00
8.611007999999999811e+03 4.238892000000000215e-01 8.611007999999999811e+03 4.255724037436341423e-01 3.413326876680191191e+00
8.611263000000000829e+03 4.237675000000000192e-01 8.611263000000000829e+03 4.255339802833950635e-01 3.413102786692388868e+00
8.611521000000000640e+03 4.236539999999999750e-01 8.611521000000000640e+03 4.254951047824473420e-01 3.412876060351790031e+00
8.611777000000000044e+03 4.237704999999999944e-01 8.611777000000000044e+03 4.254565306419721971e-01 3.412651091579722795e+00
8.612034999999999854e+03 4.236228000000000216e-01 8.612034999999999854e+03 4.254176551410246976e-01 3.412424365239123958e+00
8.616663000000000466e+03 4.230304999999999760e-01 8.616663000000000466e+03 4.247203070077461007e-01 3.408357351656592371e+00
8.621810999999999694e+03 4.222323000000000048e-01 8.621810999999999694e+03 4.239446051516277958e-01 3.403833370255799906e+00
8.626962999999999738e+03 4.214731999999999923e-01 8.626962999999999738e+03 4.231683005745643378e-01 3.399305873717943349e+00
8.632118000000000393e+03 4.207850000000000201e-01 8.632118000000000393e+03 4.223915439567920149e-01 3.394775740827288502e+00
8.637279000000000451e+03 4.200108000000000175e-01 8.637279000000000451e+03 4.216138832576024065e-01 3.390240335231038848e+00
8.642442999999999302e+03 4.193672999999999984e-01 8.642442999999999302e+03 4.208357705177043773e-01 3.385702293281992681e+00
8.647611999999999171e+03 4.186639999999999806e-01 8.647611999999999171e+03 4.200569043766249067e-01 3.381159857411616620e+00
8.652786000000000058e+03 4.177649999999999975e-01 8.652786000000000058e+03 4.192772848343642167e-01 3.376613027619909779e+00
8.657963999999999942e+03 4.169372000000000078e-01 8.657963999999999942e+03 4.184970625711588177e-01 3.372062682691140623e+00
8.663146000000000640e+03 4.162114000000000091e-01 8.663146000000000640e+03 4.177162375870082656e-01 3.367508822625306486e+00
8.668331000000000131e+03 4.155075999999999770e-01 8.668331000000000131e+03 4.169349605621490706e-01 3.362952326206676723e+00
8.673521000000000640e+03 4.147270000000000123e-01 8.673521000000000640e+03 4.161529301361088784e-01 3.358391435866715291e+00
8.678715000000000146e+03 4.141129000000000060e-01 8.678715000000000146e+03 4.153702969891237551e-01 3.353827030389692432e+00
8.683912000000000262e+03 4.132699000000000233e-01 8.683912000000000262e+03 4.145872118014297669e-01 3.349259988559870393e+00
8.689112999999999374e+03 4.126184999999999992e-01 8.689112999999999374e+03 4.138035238927910697e-01 3.344689431592986928e+00
8.694317999999999302e+03 4.119002999999999970e-01 8.694317999999999302e+03 4.130192332632074415e-01 3.340115359489038482e+00
8.699527000000000044e+03 4.111161999999999872e-01 8.699527000000000044e+03 4.122343399126786601e-01 3.335537772248025057e+00
8.704738999999999578e+03 4.103368000000000015e-01 8.704738999999999578e+03 4.114489945214412359e-01 3.330957548654216005e+00
8.709956000000000131e+03 4.097187999999999941e-01 8.709956000000000131e+03 4.106628957290225923e-01 3.326372931139076172e+00
8.715175999999999476e+03 4.090273999999999854e-01 8.715175999999999476e+03 4.098763448958955280e-01 3.321785677271139825e+00
8.720398999999999432e+03 4.082356999999999791e-01 8.720398999999999432e+03 4.090893420220595988e-01 3.317195787050405187e+00
8.725628000000000611e+03 4.075501999999999736e-01 8.725628000000000611e+03 4.083014350668061621e-01 3.312600624124074855e+00
8.730859000000000378e+03 4.067771000000000026e-01 8.730859000000000378e+03 4.075132267510803707e-01 3.308003703629212922e+00
